SORTED	LEFT	MATCH	RIGHT	ID
, er the aerospace industry in the county has suffered...	Hatfield has become a bl black spot because of the	closure of	, er the aerospace industry in the County has suffered...	JS7.s452
, of, of.	... locality we look at the imminent or fairly imminent	closure of	, of, of.	H4A.s114
, what is not just a regional speciality, but what is a...	... are fully aware of our feelings in connection with the	closure of	, what is not just a regional speciality, but what is a...	H4A.s109
1 tactical weapons unit at raf brawdy on august 31, a...	With the	closure of	1 Tactical Weapons Unit at RAF Brawdy on August 31, a...	CGL.s246
11 ministries, and plans to sell federally owned...	... sanctioned stringent government cuts, including the	closure of	11 ministries, and plans to sell federally owned...	HKT.s551
13 overseas bases.	... of forces at a further 200 military facilities and the	closure of	13 overseas bases.	HKP.s527
18 newspapers and periodicals since the end of 1989 —...	The lead article reacts to the	closure of	18 newspapers and periodicals since the end of 1989 —...	EB8.s253
1970.	( 1978 ) describe as the " full repressive	closure " of	1970.	CRU.s153
20pc of regional newspapers — probably eight or nine...	... suggested that the imposition of VAT would force the	closure of	20pc of regional newspapers — probably eight or nine...	HJ3.s400
21 of the pits subject to a review and to close the...	... taken following a public outcry, to postpone the	closure of	21 of the pits subject to a review and to close the...	HLT.s1498
24 state agencies ( expected to entail the dismissal...	... in state subsidies to private business;( viii ) the	closure of	24 state agencies ( expected to entail the dismissal...	HKS.s777
245 local and regional papers and the loss of 2,500...	... Price Waterhouse produced a report forecasting the	closure of	245 local and regional papers and the loss of 2,500...	K57.s1274
30 collieries in england and wales, do nothing to...	... the Rothschild report, with their prospects for the	closure of	30 collieries in England and Wales, do nothing to...	HHW.s9514
31 of the remaining 50 coal mines in britain, which...	The planned	closure of	31 of the remaining 50 coal mines in Britain, which...	J3B.s250
31 pits announced in october, linked to a reduction of...	The	closure of	31 pits announced in October, linked to a reduction of...	J3E.s268
31 pits, with the loss of 30,000 jobs.	... irrationally ignored miners ' rights in announcing the	closure of	31 pits, with the loss of 30,000 jobs.	CBF.s1222
31 pits.	Russell Telford was protesting against the possible	closure of	31 pits.	K97.s11852
330 shops in britain and america following a £122...	The recession-hit company last month announced the	closure of	330 shops in Britain and America following a £122...	CH2.s3450
35 domestic and 13 overseas military bases as well as...	... the 1990 actual level in real terms, and envisaged the	closure of	35 domestic and 13 overseas military bases as well as...	HKT.s2533
35 domestic military bases, the realignment or...	... with the 1990 budget, and involved the recommended	closure of	35 domestic military bases, the realignment or...	HKP.s527
4 million tonne capacity with an estimated job loss of...	On March 6th, 1984, the NCB announced the planned	closure of	4 million tonne capacity with an estimated job loss of...	AT8.s376
45 small banks and credit unions.	... Island, the gravelly-voiced Mr Sundlun ordered the	closure of	45 small banks and credit unions.	ABD.s2683
75 beds this week to head off a £2m overspend.	... shut its accident and emergency department after the	closure of	75 beds this week to head off a £2m overspend.	A2A.s392
79 printing centres by dailies and chains between 1961...	... of evenings and weeklies: one sign of this was the	closure of	79 printing centres by dailies and chains between 1961...	CRY.s782
a 24-hour crisis intervention centre.	Nalgo members were protesting at the proposed	closure of	a 24-hour crisis intervention centre.	K97.s7767
a bone marrow transplant unit.	... yesterday, in their battle over the controversial	closure of	a bone marrow transplant unit.	K3T.s19
a business.	... will be occasions where a reorganisation amounts to a	closure of	a business.	CBV.s2970
a clothing factory in south wales.	... of married women made redundant following the partial	closure of	a clothing factory in South Wales.	FST.s177
a day in christian aid week 1992, my companion asked...	... two of us struggled with an awkward table at the 3p.m.	closure of	a day in Christian Aid Week 1992, my companion asked...	KAP.s492
a feature to tourism for conservation purposes is...	On the other hand,	closure of	a feature to tourism for conservation purposes is...	B1E.s936
a forty bedded home.	More than the	closure of	a forty bedded home.	KRL.s2683
a further five mills in the first half of the current...	With the	closure of	a further five mills in the first half of the current...	HRT.s873
a good, old style joinery firm and there were some...	It was the	closure of	a good, old style joinery firm and there were some...	A0X.s1163
a highly popular radio station.	... was restored in mid-March, the government ordered the	closure of	a highly popular radio station.	EBG.s20
a home for the elderly at royal crescent, whitby.	North Yorkshire County Council yesterday confirmed the	closure of	a home for the elderly at Royal Crescent, Whitby.	K4W.s557
a hospital casualty ward have invited the area 's top...	ORGANISERS of a public meeting to discuss the feared	closure of	a hospital casualty ward have invited the area 's top...	CFB.s1151
a hospital."	... the last thing you want to be associated with is the	closure of	a hospital."	CAL.s535
a hostel and a whole range of other quite draconian...	... the closure of an elderly persons ' home, erm the	closure of	a hostel and a whole range of other quite draconian...	KRL.s2408
a key route used by aid convoys to reach central...	... in Gornji Vakuf, 40 miles to the north, forcing the	closure of	a key route used by aid convoys to reach central...	K2F.s1113
a large number of london streets on sunday.	The marathon will result in the	closure of	a large number of London streets on Sunday.	AK2.s728
a local royal irish regiment base and the movement of...	... initially approached the minister to discuss the	closure of	a local Royal Irish Regiment base and the movement of...	K2W.s1981
a london hospital 's bone marrow transplant unit.	... has won his High Court battle over the controversial	closure of	a London hospital 's bone marrow transplant unit.	K3K.s1194
a london theatre; a third about a motorway pile-up on...	... to help people dying of AIDS; another about the	closure of	a London theatre; a third about a motorway pile-up on...	G1W.s2807
a motorway bridge is ruining their trade.	Businesses say the	closure of	a motorway bridge is ruining their trade.	K1H.s2892
a nearby colliery just days ago was yesterday given a...	A MINING town devastated by the	closure of	a nearby colliery just days ago was yesterday given a...	K3C.s348
a number of commercial galleries.	... poor results of the two major auction houses; and the	closure of	a number of commercial galleries.	CKU.s1443
a number of hospitals, are among the controversies...	... cut over 1,000 hospital beds and possibly lead to a	closure of	a number of hospitals, are among the controversies...	K5L.s1415
a number of inner-city sites including the royal...	... the board 's acute services review also proposes the	closure of	a number of inner-city sites including the Royal...	CAP.s300
a one-teacher school which i	... Committee took into account in discussing the	closure of	a one-teacher school which I	BMP.s439
a pipeline supplying jordan with 15 per cent of its...	The	closure of	a pipeline supplying Jordan with 15 per cent of its...	HLC.s2364
a plant a clonmel with the loss of 350 jobs.	... in Ireland over the last few years, including the	closure of	a plant a Clonmel with the loss of 350 jobs.	K5D.s7253
a plant, although the company dismissed the threat.	... Challenger 2, raised fears among MPs of job losses and	closure of	a plant, although the company dismissed the threat.	K5D.s1180
a production platform in the north sea ( see pp....	... tanker spill in US Alaskan waters and the temporary	closure of	a production platform in the North Sea ( see pp....	HKP.s3016
a pub does not help them to comply with the orders in...		Closure of	a pub does not help them to comply with the orders in...	HHW.s9950
a public water supply intake.	... which may result in widespread fish deaths or the	closure of	a public water supply intake.	J33.s514
a railway workshop in andalucía ( sur, 30 march 1968 ).	... by the gesture of Franco in intervening to prevent the	closure of	a railway workshop in Andalucía ( Sur, 30 March 1968 ).	K8X.s1130
a redundant factory in order to preserve jobs, the...	... with maximum profits or required by law, or delaying	closure of	a redundant factory in order to preserve jobs, the...	FP2.s1008
a school can " kill " a community ln a symbolic sense,...	Thus, the	closure of	a school can " kill " a community ln a symbolic sense,...	BMP.s428
a school in the bro dysynni area of south meirionydd,...	Such was the opposition to the plan for	closure of	a school in the Bro Dysynni area of South Meirionydd,...	K3C.s1851
a similar sanctuary in hereford a week ago has given...	Rumour and the recent	closure of	a similar sanctuary in Hereford a week ago has given...	K26.s1601
a site for travelling people after a series of clashes...	ANGRY Newry residents are demanding the	closure of	a site for travelling people after a series of clashes...	K35.s1373
a small area of self-sealing partition.	You have so far succeeded in preventing the	closure of	a small area of self-sealing partition.	F9X.s3082
a substantial proportion of the system and its...	... would entail the progressive decline and eventual	closure of	a substantial proportion of the system and its...	B7G.s605
a surgical portasystemic shunt in a patient with...	Other workers have undertaken TIPSS before	closure of	a surgical portasystemic shunt in a patient with...	HWS.s4690
a temporary stoma, but the management of a permanent...	Haemorrhage can be controlled by intraperitoneal	closure of	a temporary stoma, but the management of a permanent...	HWS.s1424
a through " freight only " route and the consequent...	Sometimes the	closure of	a through " freight only " route and the consequent...	A11.s1192
a totality but rather a process of mediation among the...	... here mean anything like a predetermined end or final	closure of	a totality but rather a process of mediation among the...	CTY.s542
a very lightly used route elsewhere ( moseley et al.	... more serious deterioration in service than a complete	closure of	a very lightly used route elsewhere ( Moseley et al.	FB2.s1234
a weapons factory.	... fifty people look certain to lose their jobs with the	closure of	a weapons factory.	K23.s1395
a weekly braille class in redcar 's grosmont centre...	Public protests against the	closure of	a weekly braille class in Redcar 's Grosmont Centre...	K4W.s2155
a whole hospital.	... generally is likely to be achieved only with the	closure of	a whole hospital.	CS7.s261
a world-famous company in scotland.	As I have said, we are facing the	closure of	a world-famous company in Scotland.	HHX.s14195
a wound.	... of the isolated patch of skin, in the other case the	closure of	a wound.	CRM.s2363
accountacy firm kpmg peat marwick in cheltenham.	42 jobs are to go with the	closure of	accountacy firm KPMG Peat Marwick in Cheltenham.	K1J.s84
